,TMC,TMC_HERE,lat_x,lon_x,label
4880,112N04458,112N04458,29.600340000000003,-95.30943,10
4881,112-04459,112N04459,29.600205,-95.32134,10
4882,112N04459,112N04459,29.600205,-95.32134,10
4883,112-04460,112N04460,29.60015,-95.33102,10
4884,112N04460,112N04460,29.60015,-95.33102,10
4885,112-04461,112N04461,29.600105,-95.34075,10
4886,112N04461,112N04461,29.600105,-95.34075,10
4887,112-04466,112N04466,29.59648,-95.43244,10
4888,112N04466,112N04466,29.59648,-95.43244,10
4889,112-04467,112N04467,29.599434999999996,-95.459565,10
4890,112N04467,112N04467,29.599434999999996,-95.459565,10
4891,112-04468,112N04468,29.60662,-95.47918,10
4892,112N04468,112N04468,29.60662,-95.47918,10
4893,112-04469,112N04469,29.615345,-95.49764,10
4894,112N04469,112N04469,29.615345,-95.49764,10
4895,112-04470,112N04470,29.621225,-95.510105,10
4896,112N04470,112N04470,29.621225,-95.510105,10
4897,112-04471,112N04471,29.62592,-95.51740500000001,10
4898,112N04471,112N04471,29.62592,-95.51740500000001,10
4899,112-04473,112N04473,29.64333,-95.53833,10
4900,112N04473,112N04473,29.64333,-95.53833,10
4901,112-04474,112N04474,29.6509,-95.547325,10
4902,112N04474,112N04474,29.6509,-95.547325,10
4903,112-04475,112N04475,29.663375,-95.55630500000001,10
4904,112N04475,112N04475,29.663375,-95.55630500000001,10
4905,112-04483,112N04483,29.674004999999998,-95.56031,11
4906,112-04484,112N04484,29.682865000000003,-95.55881,11
4907,112N04484,112N04484,29.682865000000003,-95.55881,11
4908,112-04485,112N04485,29.694290000000002,-95.55733,11
4909,112N04485,112N04485,29.694290000000002,-95.55733,11
4910,112-04486,112N04486,29.706925,-95.557345,11
4911,112N04486,112N04486,29.706925,-95.557345,11
4912,112-04487,112N04487,29.722765000000003,-95.55755,11
4913,112N04487,112N04487,29.722765000000003,-95.55755,11
4914,112-04488,112N04488,29.73473,-95.55768,11
4915,112N04488,112N04488,29.73473,-95.55768,11
4916,112-04489,112N04489,29.74308,-95.5578,11
